unix,date,symbol,open,high,low,close,Volume AGLD,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1670025600000,2022-12-03 00:00:00,AGLD/USDT,0.2592,0.2592,0.2592,0.2592,0,0,0,0,0,0.2592
1669939200000,2022-12-02 00:00:00,AGLD/USDT,0.2592,0.2592,0.2592,0.2592,0,0,0,0,0,0.2592
1669852800000,2022-12-01 00:00:00,AGLD/USDT,0.2592,0.2592,0.2592,0.2592,0,0,0,0,0,0.2592
1669766400000,2022-11-30 00:00:00,AGLD/USDT,0.2592,0.2592,0.2592,0.2592,0.43867008,1.6924,0,0,1,0.2592
1669680000000,2022-11-29 00:00:00,AGLD/USDT,0.2612,0.2612,0.2612,0.2612,64.44571928,246.7294,0,0,1,0.2612
1669593600000,2022-11-28 00:00:00,AGLD/USDT,0.2569,0.2569,0.2569,0.2569,0,0,0,0,0,0.2569
1669507200000,2022-11-27 00:00:00,AGLD/USDT,0.2569,0.2569,0.2569,0.2569,0,0,0,0,0,0.2569
1669420800000,2022-11-26 00:00:00,AGLD/USDT,0.2569,0.2569,0.2569,0.2569,7.14169155,27.7995,7.14169155,27.7995,1,0.2569
1669334400000,2022-11-25 00:00:00,AGLD/USDT,0.2417,0.256,0.2417,0.256,70.22057906,275.6812,64.1323008,250.5168,4,0.254781009574830469
1669248000000,2022-11-24 00:00:00,AGLD/USDT,0.2567,0.2567,0.2567,0.2567,0,0,0,0,0,0.2567
1669161600000,2022-11-23 00:00:00,AGLD/USDT,0.2567,0.2567,0.2567,0.2567,0,0,0,0,0,0.2567
1669075200000,2022-11-22 00:00:00,AGLD/USDT,0.2567,0.2567,0.2567,0.2567,0,0,0,0,0,0.2567
1668988800000,2022-11-21 00:00:00,AGLD/USDT,0.2567,0.2567,0.2567,0.2567,69.99998506,272.6918,0,0,2,0.2567
1668902400000,2022-11-20 00:00:00,AGLD/USDT,0.2557,0.2587,0.2557,0.2587,124.24099749,482.5108,34.06277824,132.7823,4,0.257496714967874973
1668816000000,2022-11-19 00:00:00,AGLD/USDT,0.2509,0.2509,0.2509,0.2509,0,0,0,0,0,0.24720019975420909
1668729600000,2022-11-18 00:00:00,AGLD/USDT,0.2509,0.2509,0.2509,0.2509,0,0,0,0,0,0.24720019975420909
1668643200000,2022-11-17 00:00:00,AGLD/USDT,0.2509,0.2509,0.2509,0.2509,0,0,0,0,0,0.24720019975420909
